"","Urban.rural","Market","Download.speed..Mbit.s..24.hrs","Upload.speed..Mbit.s.24.hour","DNS.resolution..ms.24.hour","Latency..ms.24.hour","Web.page..ms.24.hour"
"420","Urban",3,7.8178,1.09,13.756,12.069,1082.058
"421","Rural",1,3.7587,0.687,38.258,30.297,1389.385
"422","Rural",1,3.769,0.768,30.084,28.92,1107.182
"423","Urban",2,40.5422,6.877,17.313,16.095,238.056
"424","Rural",1,0.6382,0.361,38.912,37.596,5347.526
"425","Urban",3,37.141,9.942,17.348,13.662,261.463
"426","Rural",1,4.2067,0.815,44.057,42.785,1535.12
"427","Rural",1,2.3304,0.387,43.619,34.522,1640.123
"428","Urban",1,4.0312,0.367,25.495,24.866,1055.878
"429","Urban",3,72.7667,18.712,23.225,22.842,287.983
"430","Urban",2,15.1326,0.847,30.342,21.215,471.449
"431","Urban",2,14.7642,0.806,21.992,25.045,541.908
"432","Rural",1,6.1937,0.367,36.128,27.993,871.818
"433","Urban",2,67.9342,18.557,10.528,9.353,155.145
"434","Rural",1,1.4858,0.4,41.762,29.747,2341.482
"435","Urban",1,9.196,1.019,21.72,21.697,514.456
"436","Rural",1,2.1531,0.516,40.476,35.343,1767.981
"437","Urban",3,74.0138,17.245,7.606,6.297,165.188
"438","Urban",3,44.5035,10.006,13.975,11.94,212.191
"439","Rural",1,1.073,0.369,38.706,34.872,3302.524
"440","Rural",2,19.9271,0.976,21.418,17.635,428.429
"441","Urban",3,52.3692,16.838,26.691,28.59,395.835
"442","Urban",3,33.0097,6.631,20.616,20.292,309.046
